HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
3.70.24.74:3128,2016.71,,,,,,,
223.204.118.169:8081,3224.19,,,,,,,
34.244.18.129:8080,1441.63,,,,,,,
202.5.37.104:17382,6275.48,,,,,,,
44.242.115.206:80,1138.79,,,,,,,
34.129.144.87:8888,1775.56,,,,,,,
212.175.61.30:8080,4872.6,,,,,,,
27.71.132.134:16000,2830.07,,,,,,,
3.29.58.203:1080,2679.52,,,,,,,
34.101.213.62:3128,2168.29,,,,,,,
40.192.37.189:3128,2247.25,,,,,,,
43.153.43.58:31280,2014.37,,,,,,,
43.133.61.134:3128,2085.15,,,,,,,
43.216.21.187:3128,1971.34,,,,,,,
43.217.82.90:3128,2053.05,,,,,,,
43.216.139.143:3128,2121.26,,,,,,,
213.212.204.207:1976,5452.43,,,,,,,
34.101.192.184:3128,2847.64,,,,,,,
40.192.110.77:29733,2572.07,,,,,,,
40.192.27.104:10230,2869.66,,,,,,,
223.207.96.204:8080,5193.52,,,,,,,
39.102.210.12:8080,3342.2,,,,,,,
35.238.111.20:3128,3671.41,,,,,,,
41.223.119.156:3128,3862.63,,,,,,,
34.124.190.108:8090,4315.94,,,,,,,
43.252.237.111:1111,3775.57,,,,,,,
38.46.235.3:8088,4471.65,,,,,,,
34.101.88.34:3128,4753.13,,,,,,,
38.95.88.126:999,4823.79,,,,,,,
38.156.75.130:8080,5618.35,,,,,,,
38.52.209.9:999,5719.37,,,,,,,
42.118.0.5:16000,5478.73,,,,,,,
39.37.185.95:8080,6155.45,,,,,,,
45.115.113.182:4334,5278.54,,,,,,,
41.65.71.141:1976,6000.41,,,,,,,
45.186.6.104:3128,2212.13,,,,,,,
38.224.221.58:999,6830.87,,,,,,,
45.186.105.217:3128,2518.7,,,,,,,
45.167.126.72:999,3643.72,,,,,,,
45.84.241.245:3128,2515.0,,,,,,,
45.84.241.240:3128,2540.31,,,,,,,
45.4.202.170:999,4444.94,,,,,,,
54.67.23.109:14615,507.75,,,,,,,
47.115.35.231:3128,2387.61,,,,,,,
54.226.69.33:3128,554.03,,,,,,,
52.137.65.63:3128,705.66,,,,,,,
50.18.252.169:3128,773.14,,,,,,,
54.151.52.154:8080,728.98,,,,,,,
52.15.161.54:56793,835.67,,,,,,,
54.151.103.251:1080,780.09,,,,,,,
54.219.227.207:3128,606.37,,,,,,,
49.229.100.235:8080,2462.25,,,,,,,
54.201.232.0:3128,867.17,,,,,,,
45.175.155.42:999,5365.66,,,,,,,
54.221.40.2:1080,925.03,,,,,,,
45.163.238.254:8080,5492.82,,,,,,,
46.16.229.254:8079,3198.89,,,,,,,
49.156.20.122:8082,2629.16,,,,,,,
49.48.107.95:8081,2619.86,,,,,,,
49.48.84.218:8081,2537.84,,,,,,,
52.15.161.54:3128,1080.78,,,,,,,
49.48.49.9:8080,2741.9,,,,,,,
49.49.44.131:8081,2724.94,,,,,,,
